The number after B is the patent number
B3815831   19841204 B1
B4301206   19841204 B1
B4019666   19841204 B1
B4255421   19841218 B1
B4235463   19841218 B1
B4182759   19841218 B1
B3963178   19841218 B1
B3926832   19841218 B1
B4164714   19841225 B1
B4427126   19841225 B1
B3425779   19841225 B1
B4343124   19841225 B1
BRE30659   19850101 F1
B3959693   19850101 B1
B4108029   19850101 B1
B4092181   19850101 B1
B4052229   19850115 B1
B3732068   19850115 B1
B4272435   19850115 B1
B4193797   19850205 B1
B4319365   19850205 B1
B4438584   19850205 B1
B3920075   19850219 B1
B4281711   19850219 B1
B4342811   19850219 B1
B3769254   19850226 B1
B3765547   19850226 B1
B4062647   19850226 B1
B4219204   19850226 B1
B4305796   19850226 B1
B4112921   19850319 B1
B3765548   19850319 B1
B4270911   19850319 B1
B4061481   19850319 B1
B4055966   19850319 B1
B4146793   19850319 B1
B4047197   19850326 B1
B4088624   19850326 B1
B4332536   19850326 B1
B4345528   19850326 B1
B4288965   19850326 B1
BD256345   19850326 B1
B3947241   19850326 B1
B4272119   19850402 B1
B3523464   19850402 B1
B3472714   19850402 B1
B4289903   19850402 B1
B4167585   19850402 B1
B4313448   19850402 B1
B4190801   19850402 B1
B4357256   19850402 B1
B4427417   19850416 B1
B4316579   19850416 B1
B4338757   19850416 B1
B3527969   19850416 B1
B3037963   19850416 B1
B2978437   19850416 B1
B3654638   19850416 B1
B4326938   19850430 B1
B4033105   19850430 B1
B4334944   19850430 B1
B4034772   19850514 B1
BP003971   19850514 B1
B4276329   19850514 B1
B4232619   19850514 B1
B4367157   19850514 B1
B4120391   19850514 B1
B3903127   19850528 B1
B3665554   19850528 B1
B4377847   19850528 B1
B4291597   19850528 B1
B4168315   19850528 B1
B4294086   19850528 B1
B4285380   19850611 B1
B4287404   19850611 B1
B3602706   19850611 B1
B3742723   19850625 B1
B4428200   19850709 B1
B3741439   19850709 B1
B3706344   19850709 B1
B4166465   19850709 B1
B3805532   19850716 B1
B4411262   19850716 B1
B4369181   19850716 B1
B4340052   19850716 B1
B4166997   19850716 B1
BRE31684   19850827 F1
B4289563   19850903 B1
B4352822   19850903 B1
B4355293   19850903 B1
B3967808   19850903 B1
B4424786   19850903 B1
B3733309   19850903 B1
B4323060   19850903 B1
B4451645   19850910 B1
B4243681   19850910 B1
B4354492   19850910 B1
B3910349   19850910 B1
B3948636   19850910 B1
B4127598   19850910 B1
B4128602   19850910 B1
B4076071   19850910 B1
B4261598   19850924 B1
B4267448   19850924 B1
B4075236   19850924 B1
B3906134   19850924 B1
B4327753   19851001 B1
BD265517   19851001 B1
B4347360   19851008 B1
B3855129   19851008 B1
B4300523   19851008 B1
B3995102   19851008 B1
B4198351   19851008 B1
B4305091   19851008 B1
B3952112   19851008 B1
B4445789   19851022 B1
B4477450   19851022 B1
B4209924   19851022 B1
B4389393   19851022 B1
B4429808   19851022 B1
B4412573   19851022 B1
B4330280   19851105 B1
B3928163   19851105 B1
B4099020   19851105 B1
B4370566   19851105 B1
B4275727   19851105 B1
B3790476   19851112 B1
B3891819   19851112 B1
B4372974   19851112 B1
B3777283   19851119 B1
B3171729   19851119 B1
B4289791   19851119 B1
B4213317   19851119 B1
B3909883   19851119 B1
B4072252   19851119 B1
B4401624   19851126 B1
B4156999   19851210 B1
B3825754   19851210 B1
B4249281   19851210 B1
B3966419   19851210 B1
B4281793   19851210 B1
B3489670   19851210 B1
B4064744   19851217 B1
BD267873   19851217 B1
B3982383   19851217 B1
B3900886   19851217 B1
B4403653   19851217 B1
B4420568   19851217 B1
B4330503   19851217 B1
B4268915   19851217 B1
B3999756   19851224 B1
B4257937   19860107 B1
B3854664   19860121 B1
B4161004   19860121 B1
B4470385   19860121 B1
B4270606   19860128 B1
B4251648   19860128 B1
B3750257   19860128 B1
B4231105   19860128 B1
B4396600   19860211 B1
B4117248   19860211 B1
B4436050   19860211 B1
B4481555   19860211 B1
B4081429   19860211 B1
B3987467   19860211 B1
B4060953   19860211 B1
B3732647   19860211 B1
B3714786   19860211 B1
B4497254   19860211 B1
B4157276   19860211 B1
B4283495   19860211 B1
B4411302   19860211 B1
B3217256   19860211 B1
B3640950   19860211 B1
B4288929   19860218 B1
B3564463   19860218 B1
B3837872   19860225 B1
B4232614   19860225 B1
B4319576   19860225 B1
B4445402   19860225 B1
B4077328   19860318 B1
B3743581   19860401 B1
B4340682   19860401 B1
B4381855   19860401 B1
B3319029   19860401 B1
B4171340   19860408 B1
B4181419   19860408 B1
B4027043   19860408 B1
B4140387   19860408 B1
B4513117   19860408 B1
B4387440   19860408 B1
B3575871   19860408 B1
B4157161   19860408 B1
B4407076   19860408 B1
B4415355   19860415 B1
B4571665   19860419 B1
B4352740   19860422 B1
B4228113   19860422 B1
B3976332   19860422 B1
B3650357   19860422 B1
B4301302   19860429 B1
B3485120   19860429 B1
B3934652   19860506 B1
B3925206   19860506 B1
B4302162   19860506 B1
B4154382   19860506 B1
B4230175   19860506 B1
B4341441   19860506 B1
B4065386   19860513 B1
B4408081   19860513 B1
B4369563   19860513 B1
B4358535   19860513 B1
B4353991   19860513 B1
B4335570   19860520 B1
B3850798   19860520 B1
B4456527   19860520 B1
B4074176   19860520 B1
B4336075   19860527 B1
B3818837   19860527 B1
B4293140   19860610 B1
B3826728   19860610 B1
B3810515   19860610 B1
B4189079   19860610 B1
B4381379   19860610 B1
B4132605   19860610 B1
B3995018   19860624 B1
B3588039   19860624 B1
B3781853   19860624 B1
B4226630   19860624 B1
B4217686   19860624 B1
B4145025   19860624 B1
B3435155   19860624 B1
B4334903   19860715 B1
B3905828   19860715 B1
B4217027   19860715 B1
B4288327   19860715 B1
B4186982   19860715 B1
B4298551   19860722 B1
B4244768   19860722 B1
B4220283   19860722 B1
B4462482   19860722 B1
B4123961   19860722 B1
B4404158   19860722 B1
B4478889   19860722 B1
B3817362   19860722 B1
B3792272   19860722 B1
B3747228   19860722 B1
B4479466   19860729 B1
B3388009   19860729 B1
B4308306   19860805 B1
B4302440   19860805 B1
B3716065   19860805 B1
B3631434   19860805 B1
B4351172   19860805 B1
B4021891   19860805 B1
B3815213   19860812 B1
B3764305   19860812 B1
B3563399   19860812 B1
B4348146   19860812 B1
B4475242   19860812 B1
B4322827   19860812 B1
BRE31855   19860819 F1
B4282385   19860819 B1
B3348683   19860819 B1
B4133034   19860819 B1
B4470600   19860916 B1
B4078564   19860916 B1
B3360683   19860916 B1
B4356732   19860916 B1
B4275822   19860916 B1
B4159682   19860916 B1
B4469226   19860923 B1
B3984329   19860923 B1
B4132164   19860923 B1
B3964405   19860923 B1
B4089491   19860923 B1
B4501659   19860923 B1
B4495285   19860923 B1
B4017652   19860930 B1
B4314897   19860930 B1
B4412002   19861007 B1
B4454692   19861007 B1
B4405156   19861007 B1
B4104822   19861014 B1
B4019518   19861014 B1
B4407290   19861014 B1
B4494365   19861014 B1
B4121430   19861014 B1
B3449911   19861014 B1
B4365692   19861104 B1
B4307764   19861104 B1
B3809101   19861104 B1
B4474600   19861104 B1
B4406605   19861104 B1
B4128458   19861118 B1
B4490148   19861118 B1
B4430328   19861125 B1
B4396675   19861125 B1
B4405641   19861125 B1
B4275974   19861125 B1
B4273861   19861125 B1
B4235023   19861216 B1
B4238568   19861216 B1
B3885957   19861216 B1
B4551177   19861223 B1
B4429885   19861223 B1
B4102565   19861230 B1
B3923372   19861230 B1
B3423017   19861230 B1
B4367310   19861230 B1
B3962164   19861230 B1
B4248359   19861230 B1
B4281762   19861230 B1
B4131716   19861230 B1
B4115732   19861230 B1
B3680493   19870106 B1
B3548373   19870106 B1
B4457490   19870106 B1
B3440973   19870106 B1
B4457370   19870113 B1
B4290713   19870113 B1
B3854655   19870113 B1
B4032296   19870120 B1
B4451707   19870120 B1
B4039304   19870120 B1
B4056375   19870120 B1
B3736966   19870203 B1
B3958888   19870203 B1
B3820292   19870203 B1
B3799427   19870203 B1
B4055494   19870210 B1
B3994539   19870210 B1
B3909508   19870210 B1
B3957084   19870210 B1
B4433070   19870210 B1
B4373058   19870210 B1
B4485759   19870210 B1
B3428735   19870224 B1
B4180531   19870310 B1
B4483720   19870310 B1
B3737433   19870310 B1
B3835118   19870310 B1
B4476308   19870310 B1
B4500753   19870310 B1
B4503007   19870310 B1
B4574614   19870310 B1
B4407757   19870310 B1
B3399545   19870310 B1
B4113281   19870317 B1
B4168851   19870317 B1
B4178018   19870317 B1
B4523879   19870324 B1
B3942536   19870324 B1
B3893462   19870324 B1
B3969993   19870324 B1
B4558614   19870331 B1
B3965631   19870331 B1
B3540070   19870331 B1
B4491088   19870331 B1
B4042016   19870331 B1
B4066274   19870331 B1
BD269745   19870407 B1
B3815531   19870407 B1
B3862861   19870407 B1
B3982261   19870407 B1
B3910296   19870414 B1
B4416844   19870414 B1
B4053845   19870428 B1
B4175774   19870428 B1
B4124899   19870428 B1
B4438584   19870428 B1
B3846710   19870428 B1
B3900094   19870505 B1
B3966396   19870505 B1
B3945872   19870505 B1
B4354007   19870505 B1
B4407067   19870519 B1
B3362627   19870519 B1
B4190602   19870519 B1
B4495336   19870519 B1
B4461872   19870519 B1
B4467932   19870519 B1
B4238461   19870519 B1
B4532947   19870526 B1
B4479380   19870602 B1
B3820178   19870602 B1
B4484459   19870602 B1
B3953394   19870602 B1
B3760331   19870602 B1
B3523889   19870602 B1
B4408054   19870602 B1
B4264307   19870602 B1
B4571090   19870602 B1
B4157728   19870609 B1
B3935917   19870609 B1
B4286425   19870609 B1
B4246142   19870609 B1
B4113147   19870609 B1
B4330296   19870609 B1
B4492389   19870609 B1
B4590581   19870609 B1
B4367370   19870609 B1
B3500938   19870616 B1
B3483767   19870623 B1
B4439442   19870630 B1
B3834052   19870630 B1
B4518694   19870630 B1
B4550136   19870630 B1
B4529787   19870707 B1
B3964405   19870707 B2
B3995018   19870707 B2
B4040645   19870707 B1
B4572253   19870707 B1
B3951033   19870707 B1
B4329624   19870707 B1
B4257674   19870707 B1
B4146437   19870714 B1
B4369797   19870714 B1
B4062981   19870714 B1
B4422338   19870714 B1
B4399426   19870714 B1
B3536881   19870714 B1
B3464799   19870714 B1
B4200703   19870714 B1
B4203444   19870721 B1
B4142436   19870721 B1
B3472011   19870721 B1
B3762220   19870721 B1
B4423244   19870728 B1
B4351753   19870728 B1
B4391949   19870804 B1
B4226728   19870804 B1
B4062141   19870804 B1
B3900669   19870804 B1
B4451996   19870804 B1
B4462708   19870804 B1
B4444953   19870811 B1
B4004892   19870811 B1
B4138543   19870818 B1
B4108029   19870818 B2
B4556122   19870818 B1
B4157761   19870818 B1
B3905809   19870818 B1
B3515792   19870818 B1
B3647293   19870818 B1
B3727015   19870818 B1
B4499193   19870825 B1
B4194650   19870825 B1
B4328257   19870901 B1
B4315963   19870908 B1
B4515759   19870908 B1
B4021891   19870908 B2
B4225345   19870915 B1
B4556658   19870915 B1
B4166328   19870915 B1
B4504383   19870922 B1
B4439311   19870922 B1
B4558179   19870922 B1
B4575123   19870929 B1
B3716977   19871013 B1
B3845351   19871013 B1
B3540486   19871013 B1
B4520551   19871013 B1
B3979709   19871013 B1
B3511282   19871013 B1
B4503304   19871013 B1
B3980151   19871020 B1
B4042890   19871020 B1
B4337805   19871020 B1
B4482565   19871103 B1
B3961877   19871103 B1
B4053313   19871103 B1
B3760669   19871103 B1
B4154100   19871103 B1
B4579256   19871103 B1
B3682234   19871110 B1
B4451524   19871110 B1
B4048654   19871110 B1
B4385794   19871110 B1
B4516937   19871124 B1
B4189079   19871208 B1
B4232179   19871208 B1
B4329090   19871208 B1
B4457847   19871208 B1
B4346427   19871208 B1
B4513453   19871208 B1
B4507019   19871208 B1
B4034534   19871208 B1
B4428768   19871208 B1
B4445944   19871215 B1
B4562977   19871215 B1
B3989899   19871215 B1
B4486944   19871215 B1
B4555957   19871222 B1
B4587458   19871222 B1
B4415980   19871229 B1
B4519853   19871229 B1
B4434157   19871229 B1
B4491025   19880105 B1
B3611549   19880105 B1
B4537211   19880105 B1
B4442325   19880105 B1
B3966419   19880112 B2
B4092529   19880119 B1
B4287015   19880126 B1
B4543288   19880126 B1
B4506222   19880126 B1
B4319013   19880202 B1
B4608187   19880209 B1
B3565930   19880209 B1
B4271083   19880209 B1
B4203062   19880301 B1
B4226575   19880308 B1
B4466620   19880315 B1
B4335852   19880322 B1
B4427953   19880329 B1
B4344530   19880329 B1
B4562136   19880329 B1
B3697188   19880329 B1
B4212088   19880329 B1
B4425386   19880329 B1
B4330122   19880329 B1
B4548024   19880329 B1
B4570584   19880329 B1
B4381331   19880329 B1
B4249975   19880405 B1
B4322335   19880405 B1
B4521827   19880405 B1
B4161436   19880426 B1
B3789131   19880426 B1
B4618078   19880426 B1
B4555048   19880426 B1
B4420657   19880426 B1
B4578199   19880503 B1
B4550045   19880503 B1
B4184046   19880503 B1
B4157643   19880503 B1
B4140889   19880503 B1
B3859575   19880503 B1
B3485383   19880503 B1
B4610077   19880503 B1
B4487782   19880503 B1
B4347674   19880503 B1
B4381331   19880503 B2
B3799427   19880524 B2
B3645961   19880524 B1
B4464224   19880531 B1
B4436684   19880531 B1
B4330574   19880531 B1
B3638439   19880531 B1
B4641780   19880531 B1
B4232679   19880531 B1
B3963254   19880607 B1
B4351897   19880614 B1
B4369013   19880614 B1
B4367060   19880621 B1
B3975354   19880621 B1
B3958676   19880621 B1
B3848600   19880621 B1
B4610256   19880621 B1
B4593044   19880621 B1
B4507117   19880621 B1
B4020181   19880628 B1
B4121818   19880628 B1
B4086297   19880628 B1
B4599115   19880628 B1
B4109791   19880628 B1
B4621043   19880628 B1
B4496553   19880628 B1
B4544572   19880628 B1
B4160892   19880628 B2
B4360619   19880705 B1
B4675139   19880705 B1
B4016118   19880705 B1
B4546612   19880705 B1
B3919354   19880705 B1
B4617931   19880712 B1
B4278635   19880712 B1
B3916268   19880719 B1
B4692915   19880719 B1
B4327482   19880719 B1
B3868274   19880726 B1
B4102933   19880726 B1
B4354040   19880726 B1
B4245343   19880726 B1
B4536341   19880726 B1
B4462242   19880726 B1
B4403941   19880726 B1
B4636818   19880802 B1
B4569444   19880809 B1
B4684404   19880809 B1
B4425426   19880809 B1
B4303531   19880823 B1
B3333198   19880823 B1
B3613887   19880830 B1
B4545906   19880830 B1
B4405881   19880830 B1
B3633070   19880830 B1
B4421643   19880920 B1
B4375321   19880920 B1
B3499591   19880920 B1
B3959696   19880920 B1
B4353192   19880927 B1
B3893869   19880927 B1
B4646197   19880927 B1
B4571331   19880927 B1
B4112464   19880927 B1
B4492669   19880927 B1
B4451913   19880927 B1
B4216381   19880927 B1
B4599932   19880927 B1
B3814096   19881004 B1
B4137769   19881011 B1
B4366241   19881018 B1
B4687137   19881025 B1
B4282952   19881025 B1
B3779401   19881025 B1
B4609561   19881025 B1
B4315508   19881108 B1
B4474939   19881108 B1
B3935864   19881108 B1
B4472499   19881108 B1
B3758978   19881108 B1
B4549087   19881108 B1
B4385899   19881115 B1
B4528261   19881115 B1
BRE31873   19881115 F1
B4338199   19881115 B1
B4638383   19881129 B1
B4325211   19881129 B1
B4647994   19881129 B1
B4568988   19881129 B1
B4604078   19881206 B1
B4648904   19881206 B1
B3903369   19881213 B1
B4486227   19881213 B1
B3646651   19881213 B1
B4346376   19881213 B1
B3520747   19881213 B1
B3717140   19881213 B1
B4001550   19881213 B1
B4640464   19881220 B1
B3820292   19881220 B2
B4166968   19881220 B1
B4125698   19881227 B1
B4587568   19881227 B1
B3956240   19881227 B1
B4081151   19881227 B1
B4517741   19881227 B1
B3415374   19881227 B1
B4537912   19890103 B1
B4538056   19890103 B1
B4581794   19890103 B1
B4588580   19890103 B1
B4140387   19890103 B2
B4624068   19890103 B1
B3995610   19890103 B1
B4252576   19890103 B1
B3808385   19890103 B1
B4474612   19890103 B1
B4236078   19890103 B1
B4656790   19890110 B1
B4668196   19890110 B1
B4517099   19890110 B1
B4075491   19890110 B1
B4518292   19890117 B1
B4516885   19890117 B1
B4096226   19890117 B1
B4497520   19890117 B1
B4560604   19890117 B1
B4101703   19890124 B1
B4678498   19890124 B1
B4514473   19890124 B1
B4565727   19890124 B1
B4634971   19890124 B1
B4667556   19890124 B1
B3826379   19890124 B1
B3998233   19890124 B1
B4737716   19890124 B1
B4194650   19890131 B2
B4513356   19890131 B1
B4480214   19890131 B1
B4071312   19890214 B1
B4526565   19890214 B1
B4579583   19890214 B1
B4735106   19890221 B1
B4715396   19890221 B1
B4677481   19890221 B1
B3760149   19890221 B1
B4599860   19890228 B1
B4564313   19890307 B1
BRE31368   19890307 F1
B4162338   19890307 B1
B4522162   19890321 B1
B4749017   19890328 B1
B4484179   19890328 B1
B4436519   19890404 B1
B3904039   19890404 B1
B4526828   19890404 B1
B4573203   19890418 B1
B4207618   19890418 B1
B4124899   19890418 B2
B3860003   19890418 B1
B4592353   19890418 B1
B4394956   19890418 B1
B4662875   19890418 B1
B4653498   19890418 B1
B4653378   19890418 B1
B4647471   19890418 B1
B4733884   19890418 B1
B4287923   19890425 B1
B4736817   19890425 B1
B4349923   19890425 B1
B3970719   19890425 B1
B4657971   19890425 B1
B4628072   19890425 B1
B4305296   19890509 B2
B4658985   19890509 B1
B4575312   19890516 B1
BD292913   19890516 B1
B3575939   19890523 B1
B3634938   19890530 B1
B3908195   19890530 B1
B3913891   19890530 B1
B3979560   19890530 B1
B4568812   19890530 B1
B4772947   19890530 B1
B4618332   19890530 B1
B4364770   19890530 B1
B4456590   19890530 B2
B4537856   19890530 B1
B4622174   19890530 B1
B4343480   19890606 B1
B4311515   19890606 B1
B4604111   19890606 B1
B4557683   19890606 B1
B4317604   19890606 B1
B4267195   19890606 B1
B4339268   19890606 B1
B4721809   19890606 B1
B4369850   19890606 B2
B4647980   19890613 B1
B4593760   19890620 B1
B4193247   19890620 B1
B4603618   19890620 B1
B4260890   19890627 B1
B4145095   19890627 B1
B4104822   19890627 B2
B4639301   19890627 B1
B4733919   19890627 B1
B4136458   19890704 B1
B4393075   19890704 B1
B4428223   19890704 B1
B4657970   19890704 B1
B3713291   19890704 B1
B4579530   19890711 B1
B3646377   19890711 B1
B4297310   19890711 B1
B3680420   19890711 B1
B3874852   19890711 B1
B4556558   19890711 B1
B4459526   19890711 B1
B4714194   19890711 B1
B4134402   19890725 B1
B4502161   19890725 B1
B4573744   19890725 B1
B4356623   19890725 B1
B4670706   19890725 B1
BRE32201   19890801 F1
B4545830   19890801 B1
B4384514   19890801 B1
B4471218   19890801 B1
B4263347   19890801 B1
B4253615   19890815 B1
B4656269   19890829 B1
B4747078   19890905 B1
B4503423   19890912 B1
B4049038   19890912 B1
B3777379   19890926 B1
B4472010   19890926 B1
B4470930   19890926 B1
B4394329   19890926 B1
B4238593   19890926 B1
B3783703   19890926 B1
B3809101   19890926 B2
B4664588   19890926 B1
B4537709   19890926 B1
BRE31873   19890926 F1
B4578768   19890926 B1
B4565469   19890926 B1
B4611104   19890926 B1
B4659369   19891010 B1
B4506660   19891010 B1
B4236923   19891010 B1
B3965838   19891010 B1
B4596718   19891017 B1
BD273843   19891017 B1
B4376598   19891017 B1
B4617052   19891017 B1
B4607518   19891024 B1
B4246033   19891024 B1
B4588627   19891024 B1
B3415374   19891024 B2
B4510193   19891024 B1
B4420909   19891114 B1
B4424956   19891114 B1
B3891585   19891114 B1
B4636207   19891114 B1
B4027367   19891114 B1
B4514636   19891114 B1
B4203130   19891114 B1
B4704621   19891114 B1
B4199219   19891114 B1
B4503095   19891121 B1
B4555415   19891128 B1
B4574859   19891128 B1
B4330280   19891205 B2
B4250759   19891205 B1
B4709477   19891205 B1
B4634052   19891205 B1
B4515759   19891212 B2
B4734897   19891212 B1
B3730483   19891212 B1
B4499591   19891212 B1
B4575330   19891219 B1
B3842235   19891219 B1
B4650418   19891219 B1
B4149197   19891219 B1
B4557656   19891219 B1
B3858147   19891219 B1
B4140707   19891219 B1
B4522022   19891219 B1
B4062881   19891226 B1
B4545780   19900102 B1
B3931011   19900109 B1
B3598675   19900109 B1
B4120845   19900109 B1
B4438217   19900109 B1
B4391705   19900109 B1
B4662899   19900116 B1
B4703336   19900116 B1
B4253737   19900116 B1
B4505620   19900116 B1
B4240173   19900116 B1
B4282521   19900116 B1
B4436233   19900116 B1
B4301163   19900123 B1
B4660936   19900123 B1
B4379168   19900123 B1
B4495030   19900123 B1
B4581516   19900123 B1
B4478373   19900130 B1
B4664913   19900130 B1
B4559382   19900130 B1
B3956327   19900206 B1
B4575826   19900206 B1
B4728471   19900206 B1
B4769014   19900213 B1
B4719920   19900213 B1
B4098407   19900227 B1
B4595627   19900227 B1
B4666575   19900227 B1
B4444553   19900227 B1
B4753672   19900227 B1
B4512556   19900227 B1
B4666344   19900227 B1
B4651513   19900313 B1
B3808925   19900313 B1
B3882745   19900313 B1
B4584362   19900313 B1
B4248813   19900313 B1
B4784132   19900313 B1
B4165075   19900320 B1
B3947827   19900327 B1
B3952311   19900327 B1
B4791333   19900327 B1
B4525178   19900327 B1
B4812357   19900327 B1
BD290339   19900327 B1
B4695287   19900327 B1
B4468702   19900403 B1
B4617649   19900403 B1
B4587163   19900403 B1
B4524217   19900403 B1
B4479821   19900403 B1
B4163482   19900403 B1
B4319492   19900403 B1
B4224010   19900403 B1
B4200866   19900403 B1
B4208256   19900403 B1
B4733998   19900403 B1
B4626895   19900410 B1
B4726659   19900410 B1
B4769435   19900410 B1
BD273012   19900410 B1
B4509773   19900410 B1
B4349601   19900410 B1
B4335271   19900410 B1
B4411128   19900410 B1
